manufacturer_id,name,image,sort_order,store
221,"Cumdente GmbH",catalog/Gamintojai/apacare-1633025415.png,0,Divari
223,"LLC Amalgama Lux",catalog/logo/sulsena.png,0,Divari
225,"Kamelija NPP",catalog/naujas-2021-11/kam.png-1636490580.png,0,Divari
227,"Derbos Laboratorio Natural",catalog/naujas-2021-11/Derbos-laboratorio-natural-1636490066.jpg,0,Divari
228,Dekost,catalog/logo/dekost-logo.jpg,0,Divari
230,Biosintez,,0,Divari
231,"OPC Pharmaceutical",catalog/logo/opc-1639661628.jpg,0,Divari
233,"Solnce Altaja",catalog/logo/logo-detail-1643382515.png,0,Divari
234,Fitomag,catalog/logo/fitomag-logo-nobg-1643388106.png,0,Divari
239,"Jodnije Technologi I Marketing",catalog/logo/jodnije-marketing-logo.jpg,0,Divari
240,Sarepta-Mediplast,catalog/logo/saperta-mediplast-logo-1645114189.png,0,Divari
241,Astrofarma,catalog/logo/astrofarma-logo-1645364781.jpg,0,Divari
245,"Emami Limited",catalog/logo/emami-limited-logo-1645441990.png,0,Divari
246,Galtejafarm,catalog/logo/galtejafarm-logo-1645555051.png,0,Divari
247,"Karelia organica",,0,Divari
250,"Absolute Care",catalog/elevita/absolute-care-1646575007.jpg,0,Divari
251,"Pierre Cardin",catalog/elevita/piere-cardin-1646575103.png,0,Divari
252,"Neogen Dermalogy",catalog/logo-neogen-dermalogy-1647264596.jpg,0,Divari
253,Missha,catalog/logo-missha-1647264631.jpg,0,Divari
254,A'pieu,catalog/logo-apieu-1647264700.jpg,0,Divari
255,"Pervoe Reshenie",catalog/logo/babuska.jpg,0,Divari
257,"Good Mood",catalog/logo/good-mood-logo-1648053019.png,0,Divari
258,"Vivian Gray",catalog/logo/vivian-gray-logo-1648193718.png,0,Divari
259,"Fito Cosmetic",catalog/logo/fitokosmetik-logo-1648203175.png,0,Divari
260,"Vollare Cosmetics",catalog/logo/vollar-cosmetics-logo-1648205900.png,0,Divari
261,"Danielle Laroche",catalog/logo/danielle-laroche-logo-1648206154.jpg,0,Divari
262,"Dizao Natural",catalog/logo/dizao-natural-logo-1648397175.png,0,Divari
263,Frudia,catalog/Gamintojai/logo-frudia-1648398716.jpg,0,Divari
264,Paira,catalog/logo/paira-pharmaceutical-company-logo-1648408830.jpg,0,Divari
265,"Dr. Retter",catalog/logo/dr-retter-logo.png,0,Divari
266,Aromika,catalog/logo/aromika-logo-1648713726.jpg,0,Divari
267,"Dr. Mola ",catalog/Gamintojai/logo-dr-mola-1648472783.jpg,0,Divari
268,Ultru,catalog/Gamintojai/logo-ultru-1648479501.jpg,0,Divari
270,Farmakom,catalog/logo/farmakom-logo.png,0,Divari
272,Crevil,catalog/logo/crevil-logo-1649087837.png,0,Divari
274,La'dor,catalog/Gamintojai/lador-logo.png,0,Divari
276,"OO Ukraina",catalog/logo/ivano-frankivsk.jpg,0,Divari
277,Witpak,catalog/logo/witpak-logo.jpg,0,Divari
278,"Hangzhou AllTest Biotech",catalog/logo/all-test-logo.png,0,Divari
279,"Dr. Chen patika",catalog/logo/dr-chen-patika-logo.jpg,0,Divari
280,"Ultradent Products",catalog/logo/ultradent-logo.png,0,Divari
281,"GABA International",catalog/logo/gaba-international-logo.png,0,Divari
282,"Proctor & Gamble",catalog/logo/proctor-and-gamble-logo.jpeg,0,Divari
283,Orbis,catalog/logo/orbis-dental-logo.png,0,Divari
284,"Naujoji rūta",catalog/sablonines-nuotraukos/ab-naujoji-ruta-logo.jpg,0,Divari
285,Estvita,catalog/logo/estvita-logo.jpg,0,Divari
286,Welding,,0,Divari
287,"Vasu Healthcare",catalog/logo/vasu-healthcare.png,0,Divari
288,"Tulskaja FF",catalog/logo/tulskaja-farmeteticiskaja-fabrika.jpg,0,Divari
290,"Dr. Müller Pharma",catalog/sablonines-nuotraukos/dr-muller-pharma.svg,0,Divari
291,"Usol'ye-Sibirskiy Khimfarmzavod",catalog/sablonines-nuotraukos/usol-logo.jpg,0,Divari
292,"M&A Caps",,0,Divari
293,Ekoteks,,0,Divari
294,Elixir,catalog/logo/elixir.png,0,Divari
295,"Rever cosmetics",catalog/logo/revers-cosmetics-logo.png,0,Divari
296,"Fito Bio Technologies",catalog/logo/ftb-logo.jpg,0,Divari
297,"Ekosvit Oil",catalog/logo/ekosvit.jpg,0,Divari
298,"Golden Pharm",catalog/logo/golden-farma.png,0,Divari
299,Agroselprom,catalog/logo/agroselpov.png,0,Divari
300,Irbit,catalog/logo/irbit.png,0,Divari
303,Solntse,catalog/logo/solnce.png,0,Divari
304,Malavit,catalog/logo/malavit.jpg,0,Divari
305,Amateg,catalog/sablonines-nuotraukos/amateg-logo.jpg,0,Divari
307,Vismut,,0,Divari
308,Vesna,catalog/logo/vesna-logo.png,0,Divari
309,"OSK Farm",catalog/logo/osk-farm.jpg,0,Divari
310,Hipokart,catalog/logo/hipokart-logo.png,0,Divari
311,Samarmedprom,,0,Divari
312,Borimed,catalog/logo/borimed.svg,0,Divari
313,Ternofarm,catalog/logo/ternofarm.jpeg,0,Divari
314,"Kyiv Vitamin Plant",catalog/logo/kyiv-vitamin-plant-logo.png,0,Divari
315,"PE Ekobiz",catalog/logo/ekobiz.png,0,Divari
316,"Esculap Farm",catalog/logo/esculap-farm-logo.jpg,0,Divari
317,Valgeda,catalog/logo/valgeda.png,0,Divari
318,"THS cosmetics",catalog/logo/ths-cosmetics.png,0,Divari
319,Lubnifarm,catalog/logo/lubnifarm.png,0,Divari
320,Symbiofarm,catalog/logo/symbiofarm.png,0,Divari
321,Sotya,catalog/logo/sotya.jpg,0,Divari
322,Ostrovit,catalog/logo/ostrovit-logo.png,0,Divari
323,"Slobozhansky Soap Boiler",catalog/logo/soap.jpg,0,Divari
324,"Deep fresh",catalog/logo/deepfresh.png,0,Divari
325,Kaigert,catalog/sablonines-nuotraukos/kaigert.jpg,0,Divari
326,Shungite,,0,Divari
327,Farmona,catalog/sablonines-nuotraukos/farmona.png,0,Divari
328,"Dr. OHHIRA",catalog/logo/dr-ohhira-logo.png,0,Divari
329,Anira,catalog/logo/anira.jpg,0,Divari
330,Himalaya,catalog/logo/The-Himalaya-Drug-Company-logo.svg.png,0,Divari
331,"Miracle International",,0,Divari
332,Elfarm,,0,Divari
333,"TOV Selkom",,0,Divari
334,"Apothekers-Cosmetics GmbH",catalog/logo/apothekers-cosmetic-gmbh.jpg,0,Divari
335,"EuroBio LAB",catalog/logo/eurolab.png,0,Divari
336,VITA-LAB,catalog/sablonines-nuotraukos/vita-lab.png,0,Divari
337,"LA RIVE",catalog/logo/la-rive.png,0,Divari
338,Bilka,catalog/logo/bilka.png,0,Divari
339,Rubella,catalog/logo/rubella.png,0,Divari
340,Planteon,catalog/logo/planteon.jpg,0,Divari
341,Belmedpreparaty,catalog/logo/belmedpreparaty.png,0,Divari
342,Aromat,catalog/logo/aromat.png,0,Divari
343,"Coloris Sp. z o. o.",catalog/logo/coloris.jpg,0,Divari
344,Bioherba,catalog/logo/bioherba-logo.png,0,Divari
345,"Lloyd GmbH",,0,Divari
346,Carena,,0,Divari
347,"Saponificio Artiglanale Fiorentino",catalog/Gamintojai/saponificio-artigianale-fiorentino-rosen-seife-100-g-2.jpg,0,Divari
348,Modum,catalog/Gamintojai/logo.png,0,Divari
349,Experto,catalog/logo/experto.jpg,0,Divari
350,Gridem,catalog/logo/gridem.jpg,0,Divari
351,Bionnex,catalog/logo/bionnex.png,0,Divari
352,"Medical Fort",catalog/logo/medical-fort-logo-600x600.png,0,Divari
354,Biolek,catalog/logo/biolek.png,0,Divari
355,"Chios Mastiha",,0,Divari
